From	To	Species	Gene Name
ENSTGUG00000008338	100219812	Taeniopygia guttata	histone acetyltransferase 1(HAT1)
ENSTGUG00000007008	100229919	Taeniopygia guttata	adenylate kinase 5(AK5)
ENSTGUG00000008339	100217762	Taeniopygia guttata	DET1 partner of COP1 E3 ubiquitin ligase(DET1)
ENSTGUG00000007009	100225035	Taeniopygia guttata	crumbs cell polarity complex component 2(CRB2)
ENSTGUG00000007013	100222233	Taeniopygia guttata	TGF-beta activated kinase 1 (MAP3K7) binding protein 3(TAB3)
ENSTGUG00000011985	100228271	Taeniopygia guttata	proline and serine rich 1(PROSER1)
ENSTGUG00000009676	100226725	Taeniopygia guttata	adaptor related protein complex 2 subunit alpha 2(AP2A2)
ENSTGUG00000010654	100228868	Taeniopygia guttata	microtubule associated protein 1 light chain 3 gamma(MAP1LC3C)
ENSTGUG00000007014	100219241	Taeniopygia guttata	Wnt family member 5A(WNT5A)
ENSTGUG00000011984	100190223	Taeniopygia guttata	metabolism of cobalamin associated D(MMADHC)
ENSTGUG00000009675	100232745	Taeniopygia guttata	sulfotransferase 6B1(LOC100232745)
ENSTGUG00000010653	100225246	Taeniopygia guttata	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2(HECW2)
ENSTGUG00000007015	100227198	Taeniopygia guttata	transient receptor potential cation channel subfamily V member 3(TRPV3)
ENSTGUG00000011983	100220015	Taeniopygia guttata	NFKB inhibitor alpha(NFKBIA)
ENSTGUG00000009678	100223441	Taeniopygia guttata	carboxylesterase 2(CES2)
ENSTGUG00000010652	100221786	Taeniopygia guttata	cohesin subunit SA-2(LOC100221786)
ENSTGUG00000007016	100221777	Taeniopygia guttata	dihydrouridine synthase 2(DUS2)
ENSTGUG00000011982	100218202	Taeniopygia guttata	parvin beta(PARVB)
ENSTGUG00000010651	100222093	Taeniopygia guttata	desmocollin 1(DSC1)
ENSTGUG00000008347	100232833	Taeniopygia guttata	gamma-aminobutyric acid type A receptor subunit alpha4(GABRA4)
ENSTGUG00000011981	100232005	Taeniopygia guttata	LY6/PLAUR domain containing 6(LYPD6)
ENSTGUG00000009672	100218230	Taeniopygia guttata	IQ motif containing G(IQCG)
ENSTGUG00000010650	100230090	Taeniopygia guttata	Rac family small GTPase 2(RAC2)
ENSTGUG00000007011	100227661	Taeniopygia guttata	D-amino acid oxidase(DAO)
ENSTGUG00000009674	100222415	Taeniopygia guttata	cytochrome P450 2D17(LOC100222415)
ENSTGUG00000008342	100231020	Taeniopygia guttata	HNF1 homeobox B(HNF1B)
ENSTGUG00000007012	105759031	Taeniopygia guttata	leucine rich repeats and transmembrane domains 1(LRTM1)
ENSTGUG00000009673	100229483	Taeniopygia guttata	HNF1 homeobox A(HNF1A)
ENSTGUG00000008343	100231330	Taeniopygia guttata	integrin subunit beta 4(ITGB4)
ENSTGUG00000009670	100190140	Taeniopygia guttata	acidic nuclear phosphoprotein 32 family member A(ANP32A)
ENSTGUG00000011989	100225396	Taeniopygia guttata	NHL repeat containing 3(NHLRC3)
ENSTGUG00000010658	100227283	Taeniopygia guttata	somatostatin receptor 3(SSTR3)
ENSTGUG00000011988	100230649	Taeniopygia guttata	SAMM50 sorting and assembly machinery component(SAMM50)
ENSTGUG00000010657	100231756	Taeniopygia guttata	actin like 6A(ACTL6A)
ENSTGUG00000011987	100223064	Taeniopygia guttata	lysosomal protein transmembrane 4 beta(LAPTM4B)
ENSTGUG00000010656	115493371	Taeniopygia guttata	colony stimulating factor 2 receptor subunit beta(CSF2RB)
ENSTGUG00000011986	100232511	Taeniopygia guttata	Ral GTPase activating protein catalytic subunit alpha 1(RALGAPA1)
ENSTGUG00000010655	100228011	Taeniopygia guttata	peptidylprolyl isomerase like 4(PPIL4)
ENSTGUG00000009657	100228921	Taeniopygia guttata	OMA1 zinc metallopeptidase(OMA1)
ENSTGUG00000008327	100190009	Taeniopygia guttata	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated(LSM3)
ENSTGUG00000008328	100226736	Taeniopygia guttata	DENN domain containing 2B(DENND2B)
ENSTGUG00000009659	100224967	Taeniopygia guttata	inositol monophosphatase 2(IMPA2)
ENSTGUG00000008329	100220847	Taeniopygia guttata	PH domain and leucine rich repeat protein phosphatase 2(PHLPP2)
ENSTGUG00000007002	100220989	Taeniopygia guttata	cleavage factor polyribonucleotide kinase subunit 1(CLP1)
ENSTGUG00000011974	100231134	Taeniopygia guttata	complement C4(LOC100231134)
ENSTGUG00000009665	101233865	Taeniopygia guttata	NFAT activating protein with ITAM motif 1(NFAM1)
ENSTGUG00000010643	100225169	Taeniopygia guttata	WD repeat domain 64(WDR64)
ENSTGUG00000008333	100220048	Taeniopygia guttata	SPO11 initiator of meiotic double strand breaks(SPO11)
ENSTGUG00000011973	100228260	Taeniopygia guttata	laminin subunit alpha 4(LAMA4)
ENSTGUG00000010642	100224710	Taeniopygia guttata	GTP binding protein 6 (putative)(GTPBP6)
ENSTGUG00000009667	100226363	Taeniopygia guttata	transcription factor 20(TCF20)
ENSTGUG00000010641	100232519	Taeniopygia guttata	midkine(MDK)
ENSTGUG00000008335	100226424	Taeniopygia guttata	apoptosis enhancing nuclease(AEN)
ENSTGUG00000007005	100225089	Taeniopygia guttata	creatine kinase, mitochondrial 2(CKMT2)
ENSTGUG00000009666	100218976	Taeniopygia guttata	sulfotransferase 1C1(LOC100218976)
ENSTGUG00000010640	100231487	Taeniopygia guttata	UV stimulated scaffold protein A(UVSSA)
ENSTGUG00000008336	100223224	Taeniopygia guttata	zinc finger AN1-type containing 2A(ZFAND2A)
ENSTGUG00000009661	100226657	Taeniopygia guttata	leucine aminopeptidase 3(LAP3)
ENSTGUG00000008330	100223494	Taeniopygia guttata	transmembrane and coiled-coil domain family 3(TMCC3)
ENSTGUG00000007000	100227013	Taeniopygia guttata	zinc finger ZZ-type containing 3(ZZZ3)
ENSTGUG00000009663	100220320	Taeniopygia guttata	Myb like, SWIRM and MPN domains 1(MYSM1)
ENSTGUG00000007001	100220912	Taeniopygia guttata	coiled-coil domain containing 88A(CCDC88A)
ENSTGUG00000009662	100223210	Taeniopygia guttata	tumor associated calcium signal transducer 2(TACSTD2)
ENSTGUG00000008332	100229906	Taeniopygia guttata	UNC homeobox(UNCX)
ENSTGUG00000010649	100190656	Taeniopygia guttata	mitochondrial ribosomal protein L47(MRPL47)
ENSTGUG00000011979	100225937	Taeniopygia guttata	metadherin(MTDH)
ENSTGUG00000010648	100231784	Taeniopygia guttata	exonuclease 1(EXO1)
ENSTGUG00000010647	100225850	Taeniopygia guttata	diacylglycerol kinase zeta(DGKZ)
ENSTGUG00000011977	100228840	Taeniopygia guttata	carboxypeptidase Q(CPQ)
ENSTGUG00000010646	100190108	Taeniopygia guttata	macrophage erythroblast attacher, E3 ubiquitin ligase(MAEA)
ENSTGUG00000011976	100189999	Taeniopygia guttata	proteasome 20S subunit alpha 6(PSMA6)
ENSTGUG00000010645	100227333	Taeniopygia guttata	DNA polymerase epsilon, catalytic subunit(POLE)
ENSTGUG00000011975	100219180	Taeniopygia guttata	parvin gamma(PARVG)
ENSTGUG00000007028	100190404	Taeniopygia guttata	FSHD region gene 1(FRG1)
ENSTGUG00000007029	100230813	Taeniopygia guttata	myozenin 1(MYOZ1)
ENSTGUG00000009698	100222486	Taeniopygia guttata	pyruvate dehyrogenase phosphatase catalytic subunit 2(PDP2)
ENSTGUG00000007036	100225102	Taeniopygia guttata	inactive ubiquitin carboxyl-terminal hydrolase 54(LOC100225102)
ENSTGUG00000009697	100220140	Taeniopygia guttata	proteasome 26S subunit, non-ATPase 1(PSMD1)
ENSTGUG00000008367	100218609	Taeniopygia guttata	solute carrier family 16 member 14(SLC16A14)
ENSTGUG00000007037	101233532	Taeniopygia guttata	Ras protein specific guanine nucleotide releasing factor 2(RASGRF2)
ENSTGUG00000010674	100231047	Taeniopygia guttata	transmembrane emp24 domain-containing protein 11-like(LOC100231047)
ENSTGUG00000008368	100225292	Taeniopygia guttata	HEAT repeat containing 6(HEATR6)
ENSTGUG00000007038	100190045	Taeniopygia guttata	stathmin 3(STMN3)
ENSTGUG00000009699	100190413	Taeniopygia guttata	NADH:ubiquinone oxidoreductase subunit A6(NDUFA6)
ENSTGUG00000010673	100218364	Taeniopygia guttata	uronyl 2-sulfotransferase(UST)
ENSTGUG00000008369	100220935	Taeniopygia guttata	tripartite motif containing 66(TRIM66)
ENSTGUG00000007031	100230944	Taeniopygia guttata	integrin subunit beta 1 binding protein 2(ITGB1BP2)
ENSTGUG00000009694	100231458	Taeniopygia guttata	solute carrier family 5 member 7(SLC5A7)
ENSTGUG00000010672	100224402	Taeniopygia guttata	mercaptopyruvate sulfurtransferase(MPST)
ENSTGUG00000010672	100217621	Taeniopygia guttata	potassium channel tetramerization domain containing 17(KCTD17)
ENSTGUG00000008362	100220803	Taeniopygia guttata	pantothenate kinase 1(PANK1)
ENSTGUG00000009693	100229914	Taeniopygia guttata	Jun proto-oncogene, AP-1 transcription factor subunit(JUN)
ENSTGUG00000010671	100217796	Taeniopygia guttata	spondin 2(SPON2)
ENSTGUG00000008363	100217586	Taeniopygia guttata	nuclear receptor subfamily 2 group C member 1(NR2C1)
ENSTGUG00000010670	100225126	Taeniopygia guttata	TGF-beta activated kinase 1 (MAP3K7) binding protein 2(TAB2)
ENSTGUG00000008364	100227403	Taeniopygia guttata	neurotrophic receptor tyrosine kinase 3(NTRK3)
ENSTGUG00000007034	100220775	Taeniopygia guttata	sodium channel protein type 2 subunit alpha(LOC100220775)
ENSTGUG00000009695	100227097	Taeniopygia guttata	FGGY carbohydrate kinase domain containing(FGGY)
ENSTGUG00000008365	100227573	Taeniopygia guttata	chloride voltage-gated channel 4(CLCN4)
ENSTGUG00000009690	100222053	Taeniopygia guttata	metallophosphoesterase 1(MPPE1)
ENSTGUG00000009692	100221784	Taeniopygia guttata	exosome component 1(EXOSC1)
ENSTGUG00000008360	100226566	Taeniopygia guttata	methionyl aminopeptidase type 1D, mitochondrial(METAP1D)
ENSTGUG00000007030	100224762	Taeniopygia guttata	SV2 related protein(SVOP)
ENSTGUG00000010679	100222349	Taeniopygia guttata	serine/threonine kinase 17b(STK17B)
ENSTGUG00000007017	100232763	Taeniopygia guttata	glycerol kinase(GK)
ENSTGUG00000007018	100221773	Taeniopygia guttata	CCR4-NOT transcription complex subunit 2(CNOT2)
ENSTGUG00000009679	100223017	Taeniopygia guttata	ribosomal protein L35a(RPL35A)
ENSTGUG00000008349	116808987	Taeniopygia guttata	uncharacterized LOC116808987(LOC116808987)
ENSTGUG00000007024	100219282	Taeniopygia guttata	DENN domain containing 1A(DENND1A)
ENSTGUG00000011996	100227123	Taeniopygia guttata	N-myc and STAT interactor(NMI)
ENSTGUG00000008355	100190363	Taeniopygia guttata	ribosomal protein L27a(RPL27A)
ENSTGUG00000007025	100224122	Taeniopygia guttata	phosphatidylinositol glycan anchor biosynthesis class K(PIGK)
ENSTGUG00000011995	105759430	Taeniopygia guttata	RNA binding motif protein 43(RBM43)
ENSTGUG00000009686	100227299	Taeniopygia guttata	RRAD, Ras related glycolysis inhibitor and calcium channel regulator(RRAD)
ENSTGUG00000010664	100223141	Taeniopygia guttata	zinc finger CCCH-type containing 12D(ZC3H12D)
ENSTGUG00000008356	100226616	Taeniopygia guttata	solute carrier family 16 member 12(SLC16A12)
ENSTGUG00000007026	100232254	Taeniopygia guttata	Dmx like 2(DMXL2)
ENSTGUG00000011994	100224368	Taeniopygia guttata	component of oligomeric golgi complex 6(COG6)
ENSTGUG00000010663	100227582	Taeniopygia guttata	RNA binding motif protein 20(RBM20)
ENSTGUG00000008357	100220507	Taeniopygia guttata	sodium-dependent neutral amino acid transporter B(0)AT3(LOC100220507)
ENSTGUG00000007027	100226244	Taeniopygia guttata	rho-related GTP-binding protein RhoG(LOC100226244)
ENSTGUG00000011993	100231081	Taeniopygia guttata	tubulin epsilon 1(TUBE1)
ENSTGUG00000010662	100219906	Taeniopygia guttata	C-terminal binding protein 1(CTBP1)
ENSTGUG00000008358	100225134	Taeniopygia guttata	MAPK interacting serine/threonine kinase 1(MKNK1)
ENSTGUG00000011992	100232683	Taeniopygia guttata	matrilin 2(MATN2)
ENSTGUG00000009683	100225538	Taeniopygia guttata	EGF domain specific O-linked N-acetylglucosamine transferase(EOGT)
ENSTGUG00000010661	100220511	Taeniopygia guttata	transmembrane serine protease 6(TMPRSS6)
ENSTGUG00000007021	100224094	Taeniopygia guttata	ELKS/RAB6-interacting/CAST family member 2(ERC2)
ENSTGUG00000011991	100222336	Taeniopygia guttata	Rho family GTPase 3(RND3)
ENSTGUG00000009682	100224213	Taeniopygia guttata	SPARC related modular calcium binding 2(SMOC2)
ENSTGUG00000008352	100224214	Taeniopygia guttata	cytochrome P450 2W1(CYP2W1)
ENSTGUG00000007022	100227497	Taeniopygia guttata	cordon-bleu WH2 repeat protein like 1(COBLL1)
ENSTGUG00000008353	100227965	Taeniopygia guttata	diencephalon/mesencephalon homeobox 1(DMBX1)
ENSTGUG00000007023	100229921	Taeniopygia guttata	epsin 2(EPN2)
ENSTGUG00000008354	100229421	Taeniopygia guttata	interferon-induced protein with tetratricopeptide repeats 5(LOC100229421)
ENSTGUG00000009680	100220547	Taeniopygia guttata	cytosolic iron-sulfur assembly component 2B(CIAO2B)
ENSTGUG00000008350	100226684	Taeniopygia guttata	thioredoxin reductase 2(TXNRD2)
ENSTGUG00000010669	100220102	Taeniopygia guttata	cAMP responsive element binding protein 3 like 1(CREB3L1)
ENSTGUG00000011999	100231669	Taeniopygia guttata	patatin-like phospholipase domain-containing protein 2(LOC100231669)
ENSTGUG00000011998	100228220	Taeniopygia guttata	FYN proto-oncogene, Src family tyrosine kinase(FYN)
ENSTGUG00000010667	100226621	Taeniopygia guttata	programmed cell death 4(PDCD4)
ENSTGUG00000010666	100223098	Taeniopygia guttata	desmoglein 4(DSG4)
ENSTGUG00000007057	100231484	Taeniopygia guttata	ubiquitin specific peptidase 30(USP30)
ENSTGUG00000010698	101232973	Taeniopygia guttata	cytokine receptor like factor 2(CRLF2)
ENSTGUG00000008388	100230405	Taeniopygia guttata	5-hydroxytryptamine receptor 7(HTR7)
ENSTGUG00000010697	100229685	Taeniopygia guttata	baculoviral IAP repeat-containing protein 5.1(LOC100229685)
ENSTGUG00000008389	100190165	Taeniopygia guttata	LIM domain only 1(LMO1)
ENSTGUG00000007059	100225297	Taeniopygia guttata	A-kinase anchoring protein 10(AKAP10)
ENSTGUG00000010696	100229190	Taeniopygia guttata	ST3 beta-galactoside alpha-2,3-sialyltransferase 5(ST3GAL5)
ENSTGUG00000010695	101234092	Taeniopygia guttata	atonal bHLH transcription factor 8(ATOH8)
ENSTGUG00000007053	100218389	Taeniopygia guttata	family with sequence similarity 83 member G(FAM83G)
ENSTGUG00000010694	100224388	Taeniopygia guttata	neutrophil cytosolic factor 4(NCF4)
ENSTGUG00000010693	100220202	Taeniopygia guttata	mitofusin 1(MFN1)
ENSTGUG00000007055	100228006	Taeniopygia guttata	nuclear transcription factor, X-box binding 1(NFX1)
ENSTGUG00000008386	100225074	Taeniopygia guttata	MOB kinase activator 3C(MOB3C)
ENSTGUG00000007056	100222189	Taeniopygia guttata	protein phosphatase 3 catalytic subunit beta(PPP3CB)
ENSTGUG00000007050	100224116	Taeniopygia guttata	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5(ST6GALNAC5)
ENSTGUG00000008381	100222741	Taeniopygia guttata	distal-less homeobox 2(DLX2)
ENSTGUG00000007051	100229462	Taeniopygia guttata	protein tyrosine phosphatase receptor type B(PTPRB)
ENSTGUG00000008382	100221694	Taeniopygia guttata	integrin subunit alpha 6(ITGA6)
ENSTGUG00000007052	100223185	Taeniopygia guttata	N-acylsphingosine amidohydrolase 1(ASAH1)
ENSTGUG00000008383	101233273	Taeniopygia guttata	telomerase reverse transcriptase(TERT)
ENSTGUG00000010699	100219483	Taeniopygia guttata	solute carrier family 39 member 10(SLC39A10)
ENSTGUG00000010690	100228195	Taeniopygia guttata	fibroblast growth factor receptor like 1(FGFRL1)
ENSTGUG00000007039	100228618	Taeniopygia guttata	mediator complex subunit 19(MED19)
ENSTGUG00000007046	100223934	Taeniopygia guttata	regulator of telomere elongation helicase 1(RTEL1)
ENSTGUG00000008377	100222595	Taeniopygia guttata	kinesin family member 26B(KIF26B)
ENSTGUG00000007047	100218944	Taeniopygia guttata	galanin receptor type 1-like(LOC100218944)
ENSTGUG00000010686	100223747	Taeniopygia guttata	SHOC2 leucine rich repeat scaffold protein(SHOC2)
ENSTGUG00000008378	100219089	Taeniopygia guttata	transcription factor AP-2 gamma(TFAP2C)
ENSTGUG00000007048	100223257	Taeniopygia guttata	non-POU domain containing octamer binding(NONO)
ENSTGUG00000010685	115494884	Taeniopygia guttata	ring finger protein 212(RNF212)
ENSTGUG00000008379	100231090	Taeniopygia guttata	RAS p21 protein activator 2(RASA2)
ENSTGUG00000007042	100218137	Taeniopygia guttata	thioredoxin related transmembrane protein 2(TMX2)
ENSTGUG00000010683	100232707	Taeniopygia guttata	desmoglein 2(DSG2)
ENSTGUG00000008373	100224629	Taeniopygia guttata	distal-less homeobox 1(DLX1)
ENSTGUG00000007043	100232406	Taeniopygia guttata	potassium calcium-activated channel subfamily M regulatory beta subunit 4(KCNMB4)
ENSTGUG00000010682	100230822	Taeniopygia guttata	SAM and SH3 domain containing 1(SASH1)
ENSTGUG00000007044	100224319	Taeniopygia guttata	aspartoacylase(ASPA)
ENSTGUG00000010681	100218950	Taeniopygia guttata	protein phosphatase 2 regulatory subunit B''beta(PPP2R3B)
ENSTGUG00000008375	100217953	Taeniopygia guttata	kinesin family member 20B(KIF20B)
ENSTGUG00000007045	100223737	Taeniopygia guttata	DEAD-box helicase 28(DDX28)
ENSTGUG00000010680	100229590	Taeniopygia guttata	PHD finger protein 21A(PHF21A)
ENSTGUG00000008376	105758461	Taeniopygia guttata	zinc finger and BTB domain containing 38(ZBTB38)
ENSTGUG00000008370	100230757	Taeniopygia guttata	glutamate receptor interacting protein 2(GRIP2)
ENSTGUG00000007040	100232019	Taeniopygia guttata	armadillo repeat containing 8(ARMC8)
ENSTGUG00000010689	100226779	Taeniopygia guttata	LARGE xylosyl- and glucuronyltransferase 2(LARGE2)
ENSTGUG00000010688	100227626	Taeniopygia guttata	SHOX homeobox(SHOX)
ENSTGUG00000002178	100224816	Taeniopygia guttata	biphenyl hydrolase like(BPHL)
ENSTGUG00000002179	100232305	Taeniopygia guttata	F-box protein 47(FBXO47)
ENSTGUG00000002183	105759905	Taeniopygia guttata	ubiquitin specific peptidase 48(USP48)
ENSTGUG00000002182	100218511	Taeniopygia guttata	glycerophosphocholine phosphodiesterase 1(GPCPD1)
ENSTGUG00000002185	100230635	Taeniopygia guttata	SEC61 translocon subunit alpha 2(SEC61A2)
ENSTGUG00000002187	100220751	Taeniopygia guttata	F-box and leucine rich repeat protein 20(FBXL20)
ENSTGUG00000015489	100229506	Taeniopygia guttata	calpain 15(CAPN15)
ENSTGUG00000015484	100222315	Taeniopygia guttata	VPS16 core subunit of CORVET and HOPS complexes(VPS16)
ENSTGUG00000002167	100190000	Taeniopygia guttata	ribosomal protein L23(RPL23)
ENSTGUG00000003499	101233997	Taeniopygia guttata	orosomucoid 2(ORM2)
ENSTGUG00000002166	100224275	Taeniopygia guttata	mitochondrial ribosomal protein S5(MRPS5)
ENSTGUG00000002169	100218163	Taeniopygia guttata	heparanase(HPSE)
ENSTGUG00000003497	100228829	Taeniopygia guttata	protein O-fucosyltransferase 2(POFUT2)
ENSTGUG00000002168	100218554	Taeniopygia guttata	prostaglandin E receptor 4(PTGER4)
ENSTGUG00000003498	100219212	Taeniopygia guttata	Rho GDP dissociation inhibitor alpha(ARHGDIA)
ENSTGUG00000002170	100230522	Taeniopygia guttata	receptor interacting serine/threonine kinase 1(RIPK1)
ENSTGUG00000002172	100219803	Taeniopygia guttata	LIM and SH3 protein 1(LASP1)
ENSTGUG00000002174	100225886	Taeniopygia guttata	coagulation factor IX(F9)
ENSTGUG00000002173	100217569	Taeniopygia guttata	protein kinase AMP-activated catalytic subunit alpha 1(PRKAA1)
ENSTGUG00000002176	100220204	Taeniopygia guttata	MCF.2 cell line derived transforming sequence(MCF2)
ENSTGUG00000002175	100227746	Taeniopygia guttata	dehydrogenase E1 and transketolase domain containing 1(DHTKD1)
ENSTGUG00000014183	100229006	Taeniopygia guttata	casein kinase 1 gamma 2(CSNK1G2)
ENSTGUG00000014185	101233033	Taeniopygia guttata	centromere protein H(CENPH)
ENSTGUG00000011909	100223395	Taeniopygia guttata	ROS proto-oncogene 1, receptor tyrosine kinase(ROS1)
ENSTGUG00000011907	100218290	Taeniopygia guttata	epithelial splicing regulatory protein 1(ESRP1)
ENSTGUG00000014188	100189949	Taeniopygia guttata	mitochondrial ribosomal protein S36(MRPS36)
ENSTGUG00000011906	100221926	Taeniopygia guttata	A-kinase anchoring protein 6(AKAP6)
ENSTGUG00000002199	105759190	Taeniopygia guttata	placenta-specific gene 8 protein(LOC105759190)
ENSTGUG00000002199	101234245	Taeniopygia guttata	placenta-specific gene 8 protein-like(LOC101234245)
